Reviews,Dates
Excellent product,9 October 2020
Best product in reasonable price.,9 October 2020
Item fail occur after use of 2 month... Also no quick response from customer care side..,9 October 2020
It's timer is not good enough,9 October 2020
This induction is good but I got a defective peace .. On/off button did not work so I have to return it,8 October 2020
Excellent product,8 October 2020
"Product is good easy to use... Only one thing I want share, it has no grip, when you put this induction on shelves.. A small touch move induction here and there, even when something on it..",8 October 2020
V V good,7 October 2020
Very easy to use,7 October 2020
Good product...,7 October 2020
Nice product,7 October 2020
"worst product.exactly after 1 month the induction stopped working, made complaint to service center on 16.09.2020 since then no technician and no call, everyday i call to service center and same story forwarding your complaint that set, gods know really they bother about customer or not.really pissed off with this product and their service",7 October 2020
Good one,6 October 2020
Easy to use,6 October 2020
Good worth,6 October 2020
Very useful to quick cook,6 October 2020
Good,6 October 2020
Very good productVery nice,5 October 2020
Good but color fading slowly.,5 October 2020
Easy to use and clean,4 October 2020
Very bad n works very slow,4 October 2020
was broken,3 October 2020
A good product by prestige.,3 October 2020
Good,3 October 2020
Easy to use and it has good temperature control in different modes,3 October 2020
Worth the money,3 October 2020
Good,3 October 2020
Awesome!,3 October 2020
Good product not bad,3 October 2020
"I bought this thinking this is a newer model to PIC20 which I had been using.Morning I cooked the food in pressure cooker, some how even it take more time the food was almost cooked. However, at night when I put the refrigerated food again it took so long time but never bring it to warm condition.With this upset performance, I choose to return it and but the PIC20 one. I don't know, I may not be familiar with it, but the order very version was rough and tough. This one I bought for ₹1650/-, now replaced with older version one with ₹1699/-.",2 October 2020
Product is good no problem,2 October 2020
Light in weight. Temperature stays in control as it has fan made to control. Less buttons with almost every temperature to make food.,2 October 2020
Non complicated and easy to use for first time users or people who don't have very heavy cooking,2 October 2020
Good,1 October 2020
The product was delivered on 13th September.  I started using it from 20th September.  Within 10 days the product developed repairs and has stopped working.The product says One year warranty.  Not sure whom to contact as Prestige is not responding to any calls.Return window expired 3 days back.Need some help from Amazon,29 September 2020
Good,29 September 2020
It's not good.,29 September 2020
Easy to use,29 September 2020
Perfect,28 September 2020
It’s quit noisy and for boiling milk we have tup in other mode. Heat milk mode does not boil the milk.,28 September 2020
Good,27 September 2020
Not working after some time.,27 September 2020
"Very good product. It,s very useful for home.",27 September 2020
"Good induction electric cooktop, light-weighted, easy to use, good temperature control, safe and easy to clean. Value for money",27 September 2020
The product is good as much as I expect from prestige,26 September 2020
Faulty product. Does not work.,26 September 2020
Good Product,25 September 2020
Good,24 September 2020
"Looks great, just doesn't work",24 September 2020
Not bad,24 September 2020
"its a handy cooker and we use it as a standby and for milk. As we can adjust the time and temp, there is no headache and mess ( like boiling milk or rice)",23 September 2020
My induction pannel is not catch any pan it is not working i want to replace my productBecose it is so difficult to use,22 September 2020
Not working,22 September 2020
Very good,22 September 2020
Easy to use,21 September 2020
Works wonder for me thank you  amazon.,21 September 2020
It's very easy to use and price worth product,20 September 2020
THE PRODUCT IS OF VERY LOW QUALITY (FLIMSY) AND THE CONTROLS ARE TOO RIGID. OVER AND ABOVE THE PRODUCT WAS FAULTY. AFTER 30 SECOND THE INDUCTION COOKTOP WENT INTO ERROR STATE. HAD TO RETURN WITHIN A WEEK.,20 September 2020
Using as a personal tea /hot water heater. Timer setting used every time.,20 September 2020
Best induction heater product,20 September 2020
Very Nice Product,19 September 2020
Nice product,19 September 2020
Disgusting experience this time. Received damaged product. Although I'm thankful to Amazon that they have immediately agreed for return and have ordered new one today from Amazon itself (because i trust them🤗). Hoping to get very good product this time.,18 September 2020
Received a defective product. And when called customer care they said please call prestige customer care and avail 1 year warranty. We can't do anything from our end.,18 September 2020
Not good work,18 September 2020
Damage product..,18 September 2020
Within 11 months it's not working and showing E5 error.,17 September 2020
Damaged piece ...Very disappointing,17 September 2020
Circuit blast within two month...not good quality as seen while purchasing,17 September 2020
Great product,17 September 2020
good quality product,16 September 2020
Quality is perfect ...easy to use it..i using since one month and i m not face any problem...,16 September 2020
"Writing review after 1.5 year use. Very poor product. It sparked and caught fire, please see the image. Many appliances fail but the way it sparked and caught fire was horrible.Company will say this happened due to overheating.Please note that there is automatic switch off option in case of overheating. Secondly on that day I was cooking Maggi, induction was on for less than ten minutes.",15 September 2020
great performance,15 September 2020
I am using this product from last 3 years...and also regular use everyday..till no complain..it's handy easy to use easy to clean... totally worth it at its price..,15 September 2020
Good product.,14 September 2020
"Good Product made in for indians in mind. Good buy,easy to use.",13 September 2020
Over heating and start vibrations also,12 September 2020
This product is not working..,12 September 2020
Quick heat up!,12 September 2020
Good product,12 September 2020
The product is damaged. Cook top is broken. I want to return it. Please issue a return label for this.,12 September 2020
Wonderful✨😍,12 September 2020
"We sparingly use the product even then we needed to repair it two time. Looks like faulty product, don't know how to claim replacement OR refund.",12 September 2020
Received broken plate ..looks poor quality,12 September 2020
nice choice,12 September 2020
good,11 September 2020
Good product,11 September 2020
Of late prestige products are of very bad quality. Stopped working within 2 months of purchase.  Even hearing capacity is less. Cockroaches get inside to the circuit board and damage it unlike the previous versions in which it used to be covered.,10 September 2020
Nice product,10 September 2020
Good product &easy to use,10 September 2020
"I am writing this review after using product for 9 months.... Within 9 months this product stopped to work for more than 7 times and I have to frequently repair it. You will have to throw your half cooked food if you don't have any alternate option to cook food.Pleas ego for other product if you want to cook food Hassel free.Very bad , the worst product I have ever bought",10 September 2020
Good,10 September 2020
good,9 September 2020
It's Good.,9 September 2020
Will fail very soon,9 September 2020
I have received a damaged product and is lying with me since 5th july.everytime it shows return initiated or return started but running late.Both the products are prestige products.,8 September 2020
Received broken and damaged piece.. returned..,8 September 2020
I had just used it for 3 times and it is not working now. Useless product.,8 September 2020
I liked the prody,7 September 2020
"Received a damaged product , the induction plate was broken into pieces",7 September 2020
The product i received was damaged and broken...,7 September 2020
Best go for it,7 September 2020
"Got defective product , don't buy via Amazon ,and replacement product had to be delivered 15 days later, but it was also damaged on the way and was returned, didn't expected for such services.",6 September 2020
"After 2 weeks of usage the top got cracked from middle.....seller is selling duplicate product and amazo is promoting it, had this been original product this wouldn't happened....",6 September 2020
First day use .....E0 error.,5 September 2020
"Pathetic, got damanged product.Pls refund my money",5 September 2020
Nice products,5 September 2020
